Symbol,Name,High,Low,Close,Volume,URL
AAB,Aberdeen International Inc,0.135,0.13,0.13,146215,http://eoddata.com//stockquote/TSX/AAB.htm
AAV,Advantage Oil & Gas Ltd,6.63,6.06,6.61,2106233,http://eoddata.com//stockquote/TSX/AAV.htm
ABCT,ABC Technologies Holdings Inc,5.79,5.55,5.79,4029,http://eoddata.com//stockquote/TSX/ABCT.htm
ABCT.RT,ABC Technologies Holdings Inc Rights,0.01,0.005,0.005,58102,http://eoddata.com//stockquote/TSX/ABCT.RT.htm
ABST,Absolute Software Corp,11.65,11.1,11.13,186919,http://eoddata.com//stockquote/TSX/ABST.htm
ABTC,Accelerate Carbon Negative Bitcoin ETF,3.85,3.84,3.84,200,http://eoddata.com//stockquote/TSX/ABTC.htm
ABTC.U,Accelerate Carbon Neg Bitcoin ETF USD,3.0,3.0,3.0,16100,http://eoddata.com//stockquote/TSX/ABTC.U.htm
ABX,Barrick Gold Corp,29.47,28.85,29.11,4830196,http://eoddata.com//stockquote/TSX/ABX.htm
AC,Air Canada,25.98,24.71,24.91,5230236,http://eoddata.com//stockquote/TSX/AC.htm
ACB,Aurora Cannabis Inc,5.15,4.75,4.76,1566158,http://eoddata.com//stockquote/TSX/ACB.htm
ACB.WT.U,Aurora Cannabis Inc WT USD,1.02,0.97,0.97,200,http://eoddata.com//stockquote/TSX/ACB.WT.U.htm
ACB.WT.V,Aurora Cannabis Inc WT V USD,0.58,0.57,0.57,2000,http://eoddata.com//stockquote/TSX/ACB.WT.V.htm
ACD,Accord Financial,8.46,8.38,8.38,1200,http://eoddata.com//stockquote/TSX/ACD.htm
ACD.DB,Accord Financial Corp 7.00 Pct Debs,101.1,101.1,101.1,3000,http://eoddata.com//stockquote/TSX/ACD.DB.htm
ACO.X,Atco Ltd Cl I NV,42.03,41.67,41.87,195788,http://eoddata.com//stockquote/TSX/ACO.X.htm
ACO.Y,Atco Ltd Cl II,42.28,42.28,42.28,400,http://eoddata.com//stockquote/TSX/ACO.Y.htm
ACQ,Autocanada Inc,33.27,32.5,32.61,49288,http://eoddata.com//stockquote/TSX/ACQ.htm
ACZ,Middlefield American Core Dividend ETF,15.98,15.98,15.98,400,http://eoddata.com//stockquote/TSX/ACZ.htm
AD.DB,Alaris Royalty Corp 5.50 Pct Debs,100.34,99.9,99.9,54000,http://eoddata.com//stockquote/TSX/AD.DB.htm
AD.DB.A,Alaris Eqty Part Inc Trust 6.25 Pct Debs,98.0,97.61,97.61,211000,http://eoddata.com//stockquote/TSX/AD.DB.A.htm
AD.UN,Alaris Equity Partners Income Trust,18.26,17.92,17.98,98156,http://eoddata.com//stockquote/TSX/AD.UN.htm
ADCO,Adcore Inc,0.58,0.56,0.56,42450,http://eoddata.com//stockquote/TSX/ADCO.htm
ADCO.WT,Adcore Inc WT,0.105,0.105,0.105,2000,http://eoddata.com//stockquote/TSX/ADCO.WT.htm
